algorithm,size,iterations,warmup,mean_us,median_us,min_us,max_us,stddev_us,p95_us,time_per_sample_ns,time_per_nlog2n_ns,throughput_samples_per_s,checksum
radix2_aos,64,40,5,0.611425,0.60499999999999998,0.57699999999999996,0.77300000000000002,0.031948307858163626,0.65800000000000003,9.5535156249999993,1.5922526041666665,104673508.60694279,254.92798029348569
radix2_aos,128,40,5,1.3197249999999998,1.3134999999999999,1.294,1.401,0.024302250410198643,1.3720000000000001,10.310351562499999,1.4729073660714285,96989903.199530214,181.95165492960578
radix2_aos,256,40,5,3.1964000000000001,2.9820000000000002,2.9529999999999998,10.974,1.2459559141478482,3.0910000000000002,12.4859375,1.5607421875,80090101.364034534,312.09609083793021
radix2_aos,512,40,5,6.6694750000000003,6.6704999999999997,6.5410000000000004,6.8380000000000001,0.07201527181785819,6.7919999999999998,13.026318359375001,1.4473687065972223,76767661.622541487,625.79346884287861
radix2_aos,1024,40,5,14.669575,14.653,14.460000000000001,14.913,0.10602921472405613,14.898,14.325756835937501,1.43257568359375,69804339.934865192,760.12933709007063
radix2_aos,2048,40,5,35.449949999999994,33.628999999999998,31.844999999999999,50.718000000000004,4.3122860523740778,42.783999999999999,17.309545898437499,1.5735950816761362,57771590.651044644,676.61267880906087
radix2_aos,4096,40,5,74.470699999999994,72.407499999999999,69.058999999999997,111.146,7.1418056057274484,82.591999999999999,18.181323242187499,1.5151102701822916,55001497.233140007,1722.5040650485696
radix2_soa,64,40,5,0.450075,0.44600000000000001,0.437,0.47999999999999998,0.0087703691484452354,0.46700000000000003,7.0324218749999998,1.1720703125,142198522.46847746,254.92798029348569
radix2_soa,128,40,5,0.84729999999999994,0.84699999999999998,0.83199999999999996,0.872,0.0091820477019017924,0.86099999999999999,6.6195312499999996,0.94564732142857133,151068098.66635194,181.95165492960578
radix2_soa,256,40,5,1.6990499999999999,1.6970000000000001,1.681,1.752,0.013481376042526224,1.7230000000000001,6.6369140624999998,0.82961425781249998,150672434.59580353,312.09609083793021
radix2_soa,512,40,5,3.3724499999999997,3.3704999999999998,3.3450000000000002,3.4220000000000002,0.016785335861995723,3.3959999999999999,6.5868164062499996,0.73186848958333328,151818410.94753072,625.79346884287861
radix2_soa,1024,40,5,6.7692749999999995,6.6855000000000002,6.4749999999999996,7.9859999999999998,0.29669605554337924,6.8730000000000002,6.6106201171874996,0.66106201171875001,151271738.84943366,760.12933709007063
radix2_soa,2048,40,5,14.575275,13.398,13.238,44.887999999999998,5.03482226591714,17.260000000000002,7.1168334960937498,0.64698486328124993,140511928.59139878,676.61267880906087
radix2_soa,4096,40,5,34.730325000000001,34.316000000000003,33.768000000000001,41.840000000000003,1.707125586878423,37.526000000000003,8.4790832519531243,0.70659027099609373,117937278.15676935,1722.5040650485696
mixed42_aos,64,40,5,0.37912499999999999,0.378,0.37,0.42799999999999999,0.0083342291185208011,0.38400000000000001,5.923828125,0.9873046875,168809759.31421036,254.92798029348569
mixed42_aos,128,40,5,1.2124000000000001,1.2110000000000001,1.2010000000000001,1.2470000000000001,0.0085052924699859679,1.2270000000000001,9.4718750000000007,1.3531250000000001,105575717.58495544,181.95165492960578
mixed42_aos,256,40,5,1.6739999999999999,1.671,1.655,1.718,0.014599657530229947,1.6990000000000001,6.5390625,0.8173828125,152927120.66905615,312.09609083793021
mixed42_aos,512,40,5,5.3757250000000001,5.3769999999999998,5.3479999999999999,5.4029999999999996,0.012918954098532902,5.3970000000000002,10.499462890625001,1.1666069878472223,95242967.227676257,625.79346884287861
mixed42_aos,1024,40,5,8.0031750000000006,8.0235000000000003,7.7599999999999998,8.2330000000000005,0.17436296732678069,8.2279999999999998,7.8156005859375002,0.78156005859375,127949220.15325165,760.12933709007063
mixed42_aos,2048,40,5,26.338099999999997,24.568999999999999,24.443000000000001,53.320999999999998,5.7038780395446746,33.612000000000002,12.860400390624999,1.1691273082386362,77758076.702571556,676.61267880906087
mixed42_aos,4096,40,5,41.806075,40.240499999999997,38.993000000000002,95.076999999999998,8.6638213058312186,42.527999999999999,10.206561279296874,0.85054677327473949,97976191.25928469,1722.5040650485696
mixed42_soa,64,40,5,1.0941749999999999,0.44800000000000001,0.432,26.024000000000001,3.9920224065472132,0.51700000000000002,17.096484374999999,2.8494140624999997,58491557.566202849,254.92798029348569
mixed42_soa,128,40,5,0.68322499999999997,0.68200000000000005,0.65800000000000003,0.749,0.014619315134437727,0.70099999999999996,5.3376953125000002,0.76252790178571428,187346774.48863843,181.95165492960578
mixed42_soa,256,40,5,1.4290999999999998,1.3995,1.3149999999999999,2.1240000000000001,0.13268907264729826,1.573,5.5824218749999996,0.69780273437499996,179133720.52340633,312.09609083793021
mixed42_soa,512,40,5,2.3835000000000002,2.3784999999999998,2.3399999999999999,2.452,0.02455198566307825,2.423,4.6552734375,0.51725260416666663,214810153.13614431,625.79346884287861
mixed42_soa,1024,40,5,5.1471749999999998,5.1395,4.9080000000000004,5.46,0.14720578920341412,5.3949999999999996,5.0265380859375002,0.50265380859374997,198944080.97645795,760.12933709007063
mixed42_soa,2048,40,5,9.8257999999999992,9.7955000000000005,9.6829999999999998,10.145,0.10979622033567456,10.035,4.7977539062499996,0.43615944602272722,208430865.68014818,676.61267880906087
mixed42_soa,4096,40,5,27.408450000000002,23.747,21.984000000000002,63.481000000000002,9.8511261994504977,53.158999999999999,6.6915161132812502,0.55762634277343748,149442963.75752732,1722.5040650485696
